Genotype ID,Accession,Genotype,Rep,Leaf_num,CHLp1,CHLp2,CHLp3,FW,LA,DW,SLA,THCK,LWC
BTx623, ,42,4,2,775.7,591,746,12.4,505.25,3.68,137.296195652174,40.7459677419355,70.3225806451613
BTx623, ,42,4,3,760.6,748.7,742.3,13.95,593.38,3.69,160.807588075881,42.5362007168459,73.5483870967742
BTx623, ,42,5,1,,,,,,,,,
BTx623, ,42,5,2,,,,,,,,,
BTx623, ,42,5,3,,,,,,,,,
BTx623, ,42,6,1,,,,,,,,,
BTx623, ,42,6,2,,,,,,,,,
BTx623, ,42,6,3,,,,,,,,,
BTx623, ,42,7,1,725.5,706,56.5,10.7,470.53,2.76,170.481884057971,43.9747663551402,74.2056074766355
BTx623, ,42,7,2,747.4,751.6,624.6,12.85,564.43,3.26,173.138036809816,43.924513618677,74.6303501945525
BTx623, ,42,7,3,746.4,769,692.5,13.7,573.92,3.18,180.477987421384,41.8919708029197,76.7883211678832
BTx623, ,42,8,1,628,603.1,746.2,8.25,376.6,2.52,149.444444444444,45.6484848484848,69.4545454545455
BTx623, ,42,8,2,758.9,646.1,589,11.7,529.65,3.18,166.556603773585,45.2692307692308,72.8205128205128
BTx623, ,42,8,3,678.8,755.7,600.9,12.15,539.65,3.27,165.030581039755,44.4156378600823,73.0864197530864
"R1, 22",PI 534149,43,1,1,787.4,758.3,794.2,13.55,590.94,3.73,158.428954423593,43.6118081180812,72.4723247232472
"R1, 22",PI 534149,43,1,2,744.3,754.3,746.1,12.25,530.68,3.1,171.187096774194,43.3208163265306,74.6938775510204
"R1, 22",PI 534149,43,1,3,632.6,764.1,768.5,9.65,422.73,2.43,173.962962962963,43.8062176165803,74.8186528497409
"R1, 22",PI 534149,43,2,1,,,,,,,,,
"R1, 22",PI 534149,43,2,2,,,,,,,,,
"R1, 22",PI 534149,43,2,3,,,,,,,,,
SC 616, ,44,1,1,543.2,595.2,345,5.4,318.39,2.05,155.312195121951,58.9611111111111,62.037037037037
SC 616, ,44,1,2,618.9,673.2,589,5.35,297.78,2.02,147.415841584158,55.6598130841122,62.2429906542056
SC 616, ,44,1,3,483.3,439.8,442.6,4.6,274.54,1.61,170.521739130435,59.6826086956522,65
